_airtable_id,Created,Finished At,Module,Updated,Run ID,Failed,Status,Started At
rec0zOhkVzUIItEjw,8,2026-08-13T14:24:34.000Z,Contacts,650,7537D914,0,success,2026-08-13T14:24:02.000Z
rec1Lpka0zbo8J9cg,1,2026-08-14T08:59:47.000Z,Contacts,683,825702CF,0,success,2026-08-14T08:59:14.000Z
rec1UWvTd8ncYwCFP,0,2026-08-04T08:34:14.000Z,Deals,14,660CA61A,0,success,2026-08-04T08:34:11.000Z
rec24zRtQn4UZIF5Z,515,2026-08-14T08:33:20.000Z,Companies,106,9F5C3FF9,0,success,2026-08-14T08:30:47.000Z
rec28emYDEtHh3Alx,0,2026-08-06T13:04:49.000Z,Deals,0,350F0D72,0,success,2026-08-06T13:04:47.000Z
rec2rygPGO0Am1XgM,0,2026-08-06T08:34:12.000Z,Deals,0,C764F755,0,success,2026-08-06T08:34:09.000Z
rec3KFpnNDQMgeGRW,21,2026-08-12T14:21:57.000Z,Contacts,694,70B269D1,0,success,2026-08-12T14:21:26.000Z
rec3KuFJtamerNerY,501,2026-08-08T13:03:20.000Z,Companies,1,9FA7E63F,0,success,2026-08-08T13:00:53.000Z
rec3NEMO4U1IBFEsN,509,2026-08-12T09:02:24.000Z,Companies,0,E8133537,0,success,2026-08-12T09:00:34.000Z
rec3g0wnBNNHsqJam,0,2026-08-05T15:14:55.000Z,Deals,0,B8C37D32,0,success,2026-08-05T15:14:53.000Z
rec4HR7mgMfHmGZIP,2,2026-08-03T11:14:39.000Z,Deals,0,5F9D1B4C,0,success,2026-08-03T11:14:37.000Z
rec4Z9fUi9rzB4JnP,503,2026-08-09T08:33:11.000Z,Companies,0,AC5AA990,0,success,2026-08-09T08:30:42.000Z
rec54v9uNSUPNzLwD,534,2026-08-14T14:16:43.000Z,Companies,0,31F70FC2,0,success,2026-08-14T14:14:28.000Z
rec5Gb8osYofkxffW,496,2026-08-06T08:33:34.000Z,Companies,73,C764F755,0,success,2026-08-06T08:30:50.000Z
rec5OKL2R1EFof7hT,2,2026-08-14T14:17:11.000Z,Contacts,643,31F70FC2,0,success,2026-08-14T14:16:44.000Z
rec5SGQgQ33EeWLDj,497,2026-08-07T08:33:02.000Z,Companies,159,749122EC,0,success,2026-08-07T08:30:43.000Z
rec5jZbQZA98CQe7i,8,2026-08-10T09:09:00.000Z,Contacts,303,CC299D75,0,success,2026-08-10T09:08:35.000Z
rec5y3BoJnkB0EzuN,0,2026-08-11T08:45:24.000Z,Contacts,366,909D229A,0,success,2026-08-11T08:44:53.000Z
rec6asHILwG2DxtXk,0,2026-08-03T13:04:08.000Z,Deals,0,CEC3400E,0,success,2026-08-03T13:04:06.000Z
rec6cKMDh1V5F5G9o,501,2026-08-08T08:33:00.000Z,Companies,117,6C0C9D36,0,success,2026-08-08T08:30:42.000Z
rec6qkHzm4NIIYp0U,509,2026-08-12T14:21:25.000Z,Companies,2,70B269D1,0,success,2026-08-12T14:19:15.000Z
rec72tcicjS9Lo7ML,509,2026-08-11T08:33:04.000Z,Companies,115,9FA4269B,0,success,2026-08-11T08:30:49.000Z
rec8yuZ0sZl1mAREv,0,2026-08-05T10:27:32.000Z,Deals,0,DDA04C4C,0,success,2026-08-05T10:27:29.000Z
rec9LoEa2J8URXf0h,5,2026-08-05T10:27:29.000Z,Contacts,557,DDA04C4C,0,success,2026-08-05T10:26:58.000Z
recAd9OWvoJBocm2D,0,2026-08-11T08:33:38.000Z,Deals,1,9FA4269B,0,success,2026-08-11T08:33:36.000Z
recB9zLsi3i7vW1N7,0,2026-08-05T13:03:44.000Z,Deals,1,6E907D71,0,success,2026-08-05T13:03:42.000Z
recBEjrlhHQGQBnfY,457,2026-08-03T11:14:20.000Z,Companies,37,5F9D1B4C,0,success,2026-08-03T11:12:13.000Z
recBgYHSWiyXDB2m7,0,2026-08-07T13:03:45.000Z,Deals,0,FF5C4298,0,success,2026-08-07T13:03:43.000Z
recC6nb1YAy1C2x35,1,2026-08-13T13:04:28.000Z,Deals,1,3F98BDBB,0,success,2026-08-13T13:04:25.000Z
recCDywqToAujohZK,5,2026-08-10T14:21:48.000Z,Contacts,334,0C994EA8,0,success,2026-08-10T14:21:23.000Z
recChNdzn3oRJCM1H,0,2026-08-14T08:59:49.000Z,Deals,0,825702CF,0,success,2026-08-14T08:59:47.000Z
recD020fCF8sKZAO4,4,2026-08-04T15:26:13.000Z,Deals,0,8C3EDCAB,0,success,2026-08-04T15:26:11.000Z
recD9H4V7BLR60SaJ,0,2026-08-13T09:04:39.000Z,Deals,0,50A81CA1,0,success,2026-08-13T09:04:36.000Z
recDNApvvhYvaLXYv,0,2026-08-14T08:33:54.000Z,Deals,1,9F5C3FF9,0,success,2026-08-14T08:33:52.000Z
recDo5Mb2d1UwqK9F,509,2026-08-12T13:03:13.000Z,Companies,8,0DE466BB,0,success,2026-08-12T13:00:56.000Z
recER6Y2UeZLOxCA5,4,2026-08-13T08:34:06.000Z,Contacts,732,8C950941,0,success,2026-08-13T08:33:27.000Z
recElmIoyNuK6EN4D,0,2026-08-12T09:02:57.000Z,Contacts,578,E8133537,0,success,2026-08-12T09:02:25.000Z
recEqgvSuOj4p8zs0,36,2026-08-04T13:03:50.000Z,Contacts,442,BB486329,0,success,2026-08-04T13:03:28.000Z
recF1y3KPVBNqNNeK,5,2026-08-09T08:33:55.000Z,Deals,7,AC5AA990,0,success,2026-08-09T08:33:52.000Z
recFAb1Sc6AAQPJAt,47,2026-08-05T13:03:41.000Z,Contacts,606,6E907D71,0,success,2026-08-05T13:03:08.000Z
recFPu3OQpczRtNFY,0,2026-08-14T13:03:50.000Z,Deals,24,C22154B8,0,success,2026-08-14T13:03:47.000Z
recFjhwktZQkW4bHV,1,2026-08-08T08:33:28.000Z,Deals,0,6C0C9D36,0,success,2026-08-08T08:33:26.000Z
recGQHtRXFjSAEC9U,5,2026-08-07T08:33:28.000Z,Contacts,698,749122EC,0,success,2026-08-07T08:33:02.000Z
recGStWNp2wpJyCuh,37,2026-08-04T08:34:10.000Z,Contacts,288,660CA61A,0,success,2026-08-04T08:33:44.000Z
recGed7F9YebYiGr7,6,2026-08-03T15:44:05.000Z,Contacts,252,367CC7B9,0,success,2026-08-03T15:43:49.000Z
recGfGtYg6hQXFfMn,509,2026-08-11T08:44:52.000Z,Companies,0,909D229A,0,success,2026-08-11T08:43:06.000Z
recHKHaYNw2hdxHLt,67,2026-08-03T11:14:37.000Z,Contacts,145,5F9D1B4C,0,success,2026-08-03T11:14:20.000Z
recI79vdhiAi3jT4s,22,2026-08-10T08:33:55.000Z,Deals,13,AD88E92B,0,success,2026-08-10T08:33:50.000Z
recIespgkBQQwygAu,503,2026-08-09T13:03:02.000Z,Companies,0,4EBA81F9,0,success,2026-08-09T13:00:52.000Z
recJchy5lPSKDae3R,0,2026-08-10T09:09:03.000Z,Deals,4,CC299D75,0,success,2026-08-10T09:09:00.000Z
recJmGIKf3Xh8Diev,0,2026-08-08T13:03:51.000Z,Deals,0,9FA7E63F,0,success,2026-08-08T13:03:49.000Z
